nsubj(break, he)
amod(data, space)
obl(dark, data)
punct(take, . )
det(car, a)
nsubj(know, car)
acl(car, pull)
case(driveway, into)
det(driveway, the)
obl(pull, driveway)
case(window, outside)
det(window, the)
obl(pull, window)
punct(know, .)
nsubj(know, Gun)
root(ROOT, know)
nsubj(car, it)
cop(car, be)
ccomp(know, car)
nummod(car, 12)
punct(car, ,)
det(wagon, the)
nsubj(return, wagon)
punct(return, ,)
conj(know, return)
mark(deliver, from)
advcl(return, deliver)
nmod:poss(drunk, Ingleside)
case(Ingleside, 's)
amod(disorderly, drunk)
punct(disorderly, -)
cc(disorderly, and)
punct(disorderly, -)
obj(deliver, disorderly)
case(Jail, to)
det(Jail, the)
compound(Jail, City)
obl(deliver, Jail)
punct(know, .)
cc(remember, but)
case(reason, for)
det(reason, some)
compound(reason, fool)
obl(remember, reason)
nsubj(remember, he)
aux(remember, could)
advmod(remember, not)
root(ROOT, remember)
det(man, which)
obj(remember, man)
nsubj(put, he)
aux(put, would)
acl:relcl(man, put)
case(detail, on)
det(detail, the)
compound(detail, transfer)
obl(put, detail)
punct(remember, .)
nsubj(stare, he)
root(ROOT, stare)
case(report, at)
det(report, the)
obl(stare, report)
case(hand, in)
nmod:poss(hand, Killpath)
case(Killpath, 's)
obl(stare, hand)
punct(stare, ,)
parataxis(stare, sure)
nsubj:pass(write, it)
aux:pass(write, be)
ccomp(sure, write)
case(Accacia, by)
obl(write, Accacia)
punct(stare, --)
advmod(sure, just)
advmod(sure, as)
parataxis(stare, sure)
mark(submit, as)
mark(submit, if)
nsubj(submit, he)
aux(submit, would)
advcl(sure, submit)
obj(submit, it)
case(longhand, in)
nmod:poss(longhand, he)
amod(longhand, scrawled)
obl(submit, longhand)
punct(stare, .)
nsubj(suck, he)
root(ROOT, suck)
case(breath, in)
nmod:poss(breath, he)
obl(suck, breath)
cc(keep, and)
conj(suck, keep)
xcomp(keep, quiet)
mark(lay, while)
nsubj(lay, Killpath)
advcl(keep, lay)
compound:prt(lay, down)
det(sheet, the)
obj(lay, sheet)
advmod(lay, again)
punct(wound, ,)
conj(lay, wound)
det(stem, the)
compound(wire, gold)
punct(wire, -)
compound(stem, wire)
obj(wound, stem)
case(glass, of)
nmod:poss(glass, he)
nmod(stem, glass)
case(ear, around)
nmod:poss(ear, he)
nmod(stem, ear)
cc(ey, and)
advmod(ey, then)
punct(ey, ,)
conj(wound, ey)
det(report, the)
obj(ey, report)
mark(lay, as)
nsubj(lay, it)
advcl(ey, lay)
case(he, before)
obl(lay, he)
case(desk, on)
det(desk, the)
obl(lay, desk)
punct(intone, ,)
advcl(lay, intone)
punct(suck, ,)
punct(suck, ``)
advcl(fail, act)
obj(act, Lieutenant)
flat(Lieutenant, Gunnar)
flat(Gunnar, Matson)
nummod(Gunnar, one)
root(ROOT, fail)
mark(see, to)
xcomp(fail, see)
mark(relieved, that)
det(keeper, the)
compound(keeper, station)
nsubj:pass(relieved, keeper)
aux:pass(relieved, be)
advmod(relieved, properly)
ccomp(see, relieved)
compound(absent, two)
amod(himself, absent)
obl:npmod(relieved, himself)
case(watch, throughout)
det(watch, the)
amod(watch, entire)
obl(relieved, watch)
mark(check, without)
advcl(relieved, check)
case(activity, on)
det(station, the)
nmod:poss(activity, station)
case(station, 's)
obl(check, activity)
cc(whereabouts, or)
det(whereabouts, the)
conj(activity, whereabouts)
case(sergeant, of)
nmod:poss(sergeant, he)
compound(sergeant, section)
nmod(member, sergeant)
nummod(member, three)
amod(member, permit)
nmod(whereabouts, member)
case(detail, of)
det(detail, the)
compound(detail, homicide)
nmod(member, detail)
case(Bureau, of)
det(inspector, the)
nmod:poss(Bureau, inspector)
case(inspector, 's)
nmod(detail, Bureau)
mark(arrogate, to)
acl(Bureau, arrogate)
case(convenience, for)
nmod:poss(convenience, they)
amod(convenience, own)
obl(arrogate, convenience)
det(patrolman, a)
appos(convenience, patrolman)
nsubj:pass(prevent, who)
aux:pass(prevent, be)
advmod(prevent, thereby)
acl:relcl(patrolman, prevent)
mark(carry, from)
advcl(prevent, carry)
compound:prt(carry, on)
nmod:poss(assignment, he)
amod(assignment, proper)
obj(carry, assignment)
nsubj(fail, four)
conj(prevent, fail)
mark(notify, to)
xcomp(fail, notify)
det(commander, the)
compound(commander, station)
obj(notify, commander)
acl(commander, act)
obj(act, captain)
flat(captain, o.)
flat(captain, T.)
flat(captain, Killpath)
case(homicide, of)
det(homicide, a)
nmod(captain, homicide)
acl(homicide, occur)
case(establishment, in)
det(establishment, the)
compound(frequent, district)
nummod(establishment, five)
amod(establishment, frequent)
amod(establishment, extralegal)
obl(occur, establishment)
acl(establishment, know)
case(spot, as)
case(hour, after)
punct(hour, -)
compound(spot, hour)
obl(know, spot)
case(purpose, for)
nmod(spot, purpose)
case(unofficial, of)
det(unofficial, a)
nmod(purpose, unofficial)
cc(nature, and)
advmod(social, purportedly)
amod(nature, social)
nmod(purpose, nature)
cc(six, and)
conj(nature, six)
punct(lean, '')
punct(lean, --)
nsubj(lean, he)
parataxis(nature, lean)
advmod(lean, back)
cc(peel, and)
conj(lean, peel)
compound:prt(peel, off)
nmod:poss(glass, he)
obj(peel, glass)
punct(lean, ``)
punct(fail, --)
parataxis(lean, fail)
mark(co-operate, to)
xcomp(fail, co-operate)
case(act, with)
det(act, the)
obl(co-operate, act)
obl(co-operate, captain)
mark(return, by)
advcl(co-operate, return)
advmod(return, promptly)
mark(order, when)
advmod(order, so)
advcl(return, order)
punct(fail, .)
obj(say, what)
aux(say, have)
nsubj(say, you)
mark(say, to)
advcl(sail, say)
case(that, to)
obl(say, that)
punct(Sergeant, ,)
vocative(say, Sergeant)
punct(Sergeant, '')
punct(sail, ?)
punct(sail, ?)
nsubj(sail, Killpath)
root(ROOT, sail)
det(paper, the)
obj(sail, paper)
case(desk, across)
det(desk, the)
obl(sail, desk)
punct(pick, ,)
cc(pick, but)
nsubj(pick, Matson)
aux(pick, do)
advmod(pick, not)
conj(sail, pick)
obj(pick, it)
compound:prt(pick, up)
cc(glance, or)
advmod(glance, even)
conj(pick, glance)
case(it, at)
obl(glance, it)
punct(sail, .)
punct(sail, ``)
root(ROOT, well)
punct(well, '')
punct(well, ?)
punct(well, ?)
punct(well, ``)
nsubj(think, I)
aux(think, do)
advmod(think, not)
root(ROOT, think)
nsubj(know, Accacia)
ccomp(think, know)
advmod(many, so)
amod(word, many)
amod(word, big)
obj(know, word)
punct(word, ,)
appos(word, Lieutenant)
punct(think, '')
punct(think, .)
nsubj(lick, Killpath)
parataxis(think, lick)
nmod:poss(lip, he)
obj(lick, lip)
punct(think, .)
punct(think, ``)
nsubj(officer, Patrolman)
flat(Patrolman, Accacia)
cop(officer, be)
det(officer, a)
amod(officer, alert)
cc(conscientious, and)
conj(alert, conscientious)
compound(enforcement, law)
punct(enforcement, -)
conj(alert, enforcement)
root(ROOT, officer)
punct(officer, . )
nsubj(think, I)
aux(think, do)
advmod(think, not)
root(ROOT, think)
nmod:poss(diligence, he)
nsubj(mitigate, diligence)
ccomp(think, mitigate)
nmod:poss(negligence, you)
obj(mitigate, negligence)
punct(negligence, ,)
appos(negligence, Matson)
punct(think, '')
punct(think, .)
punct(think, ``)
root(ROOT, negligence)
punct(negligence, ,)
list(negligence, hell)
punct(negligence, '')
punct(negligence, !)
punct(negligence, !)
nsubj(hold, Gun)
root(ROOT, hold)
nmod:poss(breath, he)
obj(hold, breath)
det(moment, a)
obl:npmod(hold, moment)
punct(hold, ,)
advcl(hold, push)
det(volume, the)
obj(push, volume)
cc(pitch, and)
conj(volume, pitch)
case(voice, of)
nmod:poss(voice, he)
nmod(pitch, voice)
advmod(push, down)
case(trapdoor, under)
det(trapdoor, the)
obl(down, trapdoor)
case(throat, in)
nmod:poss(throat, he)
nmod(trapdoor, throat)
punct(hold, .)
punct(hold, ``)
root(ROOT, Sir)
flat(Sir, . )
nsubj(negligent, I)
aux(negligent, would)
aux(negligent, have)
cop(negligent, be)
root(ROOT, negligent)
cc(cop, and)
det(cop, a)
amod(cop, goddam)
amod(cop, lousy)
conj(negligent, cop)
mark(boot, to)
acl(cop, boot)
punct(negligent, ,)
mark(sit, if)
nsubj(sit, I)
aux(sit, would)
advcl(negligent, sit)
case(station, around)
det(station, this)
obl(sit, station)
det(night, all)
obl:tmod(sit, night)
mark(get, when)
nsubj(get, somebody)
advcl(sit, get)
advmod(get, away)
case(murder, with)
obl(get, murder)
case(district, in)
nmod:poss(district, my)
nmod(murder, district)
punct(negligent, .)
nsubj(bad, it)
cop(bad, be)
advmod(bad, too)
root(ROOT, bad)
nsubj(call, I)
aux(call, do)
advmod(call, not)
ccomp(bad, call)
obj(call, you)
punct(bad, ,)
cc(bad, and)
nsubj(bad, it)
cop(bad, be)
advmod(bad, too)
conj(bad, bad)
nsubj(let, I)
ccomp(bad, let)
obj(let, Schaeffer)
xcomp(let, use)
obj(use, Accacia)
mark(have, when)
nsubj(have, he)
aux(have, could)
aux(have, have)
advcl(let, have)
det(boy, a)
obj(have, boy)
nsubj(glad, who)
aux(glad, would)
cop(glad, be)
acl:relcl(boy, glad)
mark(learn, to)
xcomp(glad, learn)
obj(learn, something)
case(procedure, of)
compound(procedure, homicide)
nmod(something, procedure)
punct(bad, .)
cc(sorry, but)
nsubj(sorry, I)
cop(sorry, be)
advmod(sorry, not)
nummod(bit, one)
amod(bit, dam)
obl:npmod(sorry, bit)
root(ROOT, sorry)
nsubj(go, I)
ccomp(sorry, go)
advmod(go, out)
mark(question, to)
advcl(go, question)
det(people, the)
obj(question, people)
nsubj(know, I)
acl:relcl(people, know)
case(place, in)
det(place, the)
obl(know, place)
nsubj(hang, they)
acl:relcl(place, hang)
advmod(hang, around)
punct(hang, ,)
cc('', and)
punct(hang, '')
punct(sorry, --)
punct(sorry, ``)
root(ROOT, let)
obj(let, 's)
advmod(push, not)
xcomp(let, push)
nmod:poss(patience, we)
obj(push, patience)
case(line, beyond)
det(line, the)
compound(line, danger)
obl(push, line)
punct(line, ,)
appos(line, Sergeant)
punct(push, '')
punct(nasal, ,)
nsubj(nasal, Killpath)
parataxis(let, nasal)
punct(let, .)
punct(let, ``)
nsubj(like, I)
aux(like, should)
advmod(like, not)
root(ROOT, like)
mark(have, to)
xcomp(like, have)
mark(write, to)
xcomp(have, write)
obj(write, you)
compound:prt(write, up)
case(insubordination, for)
obl(write, insubordination)
cc(dereliction, as)
fixed(as, well)
fixed(as, as)
obl(write, dereliction)
case(duty, of)
nmod(dereliction, duty)
punct(dereliction, '')
punct(like, .)
nsubj(stiffen, Gun)
parataxis(like, stiffen)
punct(stiffen, ,)
nmod:poss(hand, he)
obj(stiffen, hand)
advcl(stiffen, ball)
case(fist, into)
obl(ball, fist)
case(side, at)
nmod:poss(side, he)
obl(ball, side)
punct(like, .)
nsubj(clamp, he)
root(ROOT, clamp)
nmod:poss(jaw, he)
obj(clamp, jaw)
mark(keep, to)
advcl(clamp, keep)
det(fury, the)
obj(keep, fury)
mark(spilling, from)
advcl(keep, spilling)
compound:prt(spilling, out)
punct(clamp, .)
det(argument, a)
nsubj(frustrating, argument)
case(orville, with)
nmod(argument, orville)
flat(orville, torrence)
flat(orville, Killpath)
cop(frustrating, be)
advmod(frustrating, as)
root(ROOT, frustrating)
cc(futile, and)
advmod(futile, as)
conj(frustrating, futile)
case(pistol, as)
det(pistol, a)
compound(pistol, cap)
obl(futile, pistol)
case(range, on)
det(range, a)
compound(range, fire)
nmod(pistol, range)
punct(frustrating, .)
nsubj(lean, Killpath)
parataxis(frustrating, lean)
advmod(lean, forward)
advmod(lean, again)
punct(rock, ,)
conj(lean, rock)
advmod(rock, comfortably)
case(arm, with)
nmod:poss(arm, he)
obl(rock, arm)
advmod(wrap, still)
advcl(rock, wrap)
advmod(wrap, around)
nummod(knee, one)
obj(wrap, knee)
punct(lean, .)
punct(frustrating, ``)
root(ROOT, let)
obj(let, 's)
advmod(remember, just)
xcomp(let, remember)
punct(remember, ,)
obj(remember, Sergeant)
punct(let, ,)
mark(carry, that)
nsubj(carry, we)
aux(carry, must)
advmod(carry, all)
ccomp(remember, carry)
nmod:poss(umbrella, we)
amod(umbrella, own)
obj(carry, umbrella)
punct(let, . )
det(station, a)
compound(station, district)
nsubj(run, station)
aux(run, can)
advmod(run, not)
root(ROOT, run)
advmod(run, smoothly)
punct(run, ,)
advmod(run, unless)
punct(run, '')
root(ROOT, --)
nsubj(interrupt, he)
root(ROOT, interrupt)
obj(interrupt, himself)
punct(interrupt, ,)
advcl(interrupt, look)
case(Gun, around)
obl(look, Gun)
case(doorway, at)
det(doorway, the)
obl(look, doorway)
punct(interrupt, .)
punct(interrupt, ``)
root(ROOT, Morning)
punct(Morning, ,)
appos(Morning, Lieutenant)
flat(Lieutenant, Rinker)
punct(Morning, '')
punct(Morning, .)
punct(Morning, ``)
discourse(orville, sorry)
punct(orville, ,)
root(ROOT, orville)
flat(orville, . )
nsubj(think, I)
root(ROOT, think)
nsubj(come, you)
aux(come, have)
advmod(come, not)
ccomp(think, come)
advmod(come, in)
advmod(come, yet)
punct(think, '')
punct(think, .)
punct(think, ``)
nsubj(here, I)
aux(here, have)
cop(here, be)
root(ROOT, here)
case(time, for)
det(time, some)
obl(here, time)
punct(here, '')
punct(here, .)
nsubj(stand, he)
parataxis(here, stand)
compound:prt(stand, up)
punct(cocked, ,)
conj(stand, cocked)
nmod:poss(head, he)
obj(cocked, head)
cc(eye, and)
conj(stand, eye)
obj(eye, Gun)
advmod(eye, coldly)
punct(here, .)
punct(here, ``)
det(sergeant, the)
nsubj(leave, sergeant)
aux(leave, be)
advmod(leave, just)
root(ROOT, leave)
punct(leave, '')
punct(leave, .)
nsubj(come, it)
aux(come, have)
parataxis(leave, come)
case(surprise, as)
det(surprise, no)
amod(surprise, great)
obl(come, surprise)
case(Matson, to)
nmod(surprise, Matson)
mark(work, that)
det(water, the)
amod(water, hot)
nsubj(work, water)
case(shower, in)
det(shower, the)
nmod(water, shower)
aux(work, do)
advmod(work, not)
ccomp(come, work)
punct(work, ,)
mark(throw, that)
nsubj(throw, Loren)
flat(Loren, severe)
aux(throw, have)
ccomp(work, throw)
compound:prt(throw, up)
cc:preconj(stair, all)
case(stair, over)
det(stair, the)
obl(throw, stair)
punct(walk, ,)
cc(walk, or)
mark(walk, that)
det(bastard, some)
compound(bastard, thieve)
nsubj(walk, bastard)
case(cop, of)
det(cop, a)
nmod(bastard, cop)
aux(walk, have)
conj(throw, walk)
advmod(walk, off)
case(cigarett, with)
nmod:poss(cigarett, he)
obl(walk, cigarett)
punct(leave, .)
nsubj(best, it)
cop(best, be)
det(best, the)
root(ROOT, best)
nsubj(hope, he)
aux(hope, could)
acl:relcl(best, hope)
obl(hope, for)
case(watch, on)
det(watch, a)
obl(hope, watch)
nsubj(end, that)
aux(end, have)
acl:relcl(watch, end)
case(session, with)
det(session, a)
obl(end, session)
case(office, in)
nmod:poss(office, Killpath)
case(Killpath, 's)
nmod(session, office)
punct(best, .)
advmod(pass, now)
punct(best, ,)
mark(pass, as)
nsubj(pass, he)
advcl(nodded, pass)
det(counter, the)
amod(counter, open)
obj(pass, counter)
nsubj(divide, that)
acl:relcl(counter, divide)
det(room, the)
compound(room, assembly)
obj(divide, room)
case(office, from)
det(office, the)
compound(office, business)
nmod(room, office)
punct(nodded, ,)
nsubj(nodded, he)
parataxis(best, nodded)
cc(say, and)
conj(nodded, say)
amod(night, good)
obj(say, night)
case(keeper, to)
det(keeper, the)
compound(keeper, station)
nmod(night, keeper)
cc(clerk, and)
nmod:poss(clerk, he)
conj(keeper, clerk)
punct(stop, ,)
advmod(stop, not)
advcl(say, stop)
mark(hear, to)
xcomp(stop, hear)
det(playback, the)
compound(watch, day)
punct(watch, -)
xcomp(hear, watch)
obj(hear, playback)
case(chew, of)
nmod:poss(chew, he)
nmod(playback, chew)
nmod(playback, out)
punct(best, .)
root(ROOT, not)
mark(give, that)
nsubj(give, he)
ccomp(not, give)
det(damn, a)
obj(give, damn)
obj(send, what)
det(grapevine, the)
nsubj(send, grapevine)
acl:relcl(damn, send)
compound:prt(send, out)
case(speech, about)
nmod:poss(speech, Killpath)
case(Killpath, 's)
amod(speech, little)
obl(send, speech)
case(comportment, on)
det(comportment, the)
nmod(speech, comportment)
case(commander, of)
compound(commander, platoon)
nmod(comportment, commander)
punct(not, .)
nsubj(want, he)
advmod(want, just)
aux(want, do)
advmod(want, not)
root(ROOT, want)
mark(talk, to)
xcomp(want, talk)
case(it, about)
obl(talk, it)
punct(want, .)
mark(want, if)
det(captain, the)
compound(captain, act)
nsubj(want, captain)
advcl(have, want)
nmod:poss(lieutenant, he)
compound(lieutenant, act)
obj(want, lieutenant)
mark(sit, to)
xcomp(want, sit)
case(ass, on)
nmod:poss(ass, he)
obl(sit, ass)
case(station, around)
det(station, the)
obl(sit, station)
det(night, all)
obl:tmod(sit, night)
punct(have, ,)
nsubj(have, Killpath)
aux(have, would)
advmod(have, just)
root(ROOT, have)
mark(go, to)
xcomp(have, go)
advmod(go, out)
cc(drag, and)
conj(go, drag)
obj(drag, Gun)
advmod(drag, back)
case(heel, by)
det(heel, the)
obl(drag, heel)
case(hour, once)
det(hour, a)
obl:tmod(drag, hour)
punct(drag, ;)
punct(have, ;)
mark(dam, because)
nsubj:pass(dam, he)
aux(dam, would)
aux:pass(dam, be)
advcl(drag, dam)
mark(go, if)
nsubj(go, he)
aux(go, be)
advcl(dam, go)
mark(pusher, to)
cop(pusher, be)
det(pusher, a)
amod(pusher, mid-watch)
compound(pusher, pencil)
punct(pusher, -)
xcomp(go, pusher)
advmod(captain, just)
mark(captain, to)
discourse(captain, please)
nmod:poss(captain, he)
amod(captain, ulcerate)
amod(captain, pro-tem)
conj(pusher, captain)
punct(have, .)
case(doorway, at)
det(doorway, the)
obl(squint, doorway)
nsubj(squint, he)
root(ROOT, squint)
compound:prt(squint, up)
case(morning, at)
det(morning, the)
amod(morning, gray)
obl(squint, morning)
advmod(squint, overcast)
cc(patt, and)
conj(squint, patt)
nmod:poss(pocket, he)
compound(pocket, jacket)
obj(patt, pocket)
case(cigarett, for)
det(cigarett, the)
obl(patt, cigarett)
punct(patt, ,)
advcl(patt, remember)
advmod(remember, then)
mark(leave, that)
nsubj(leave, he)
aux(leave, would)
ccomp(remember, leave)
obj(leave, they)
case(Doughnuttery, at)
det(Doughnuttery, the)
obl(leave, Doughnuttery)
punct(squint, .)
nsubj(pick, he)
aux(pick, could)
root(ROOT, pick)
compound:prt(pick, up)
det(pack, another)
obj(pick, pack)
case(way, on)
nmod:poss(way, he)
obl(pick, way)
advmod(pick, home)
punct(pick, ,)
mark(go, if)
nsubj(go, he)
aux(go, be)
advcl(pick, go)
advmod(go, home)
punct(pick, .)
cc(know, but)
advmod(start, even)
mark(start, before)
nsubj(start, he)
advcl(know, start)
case(road, across)
det(road, the)
amod(road, oil)
obl(start, road)
case(plymouth, to)
nmod:poss(plymouth, he)
nmod(road, plymouth)
punct(park, ,)
conj(start, park)
case(lot, in)
det(lot, the)
obl(park, lot)
case(tree, under)
det(tree, the)
compound(tree, cypress)
nmod(lot, tree)
advmod(park, across)
case(station, from)
det(station, the)
obl(across, station)
punct(know, ,)
nsubj(know, he)
root(ROOT, know)
mark(go, that)
nsubj(go, he)
aux(go, be)
advmod(go, not)
ccomp(know, go)
advmod(go, home)
punct(know, .)
advmod(yet, not)
root(ROOT, yet)
punct(yet, .)
nsubj(o'clock, it)
cop(o'clock, be)
nummod(o'clock, nine)
root(ROOT, o'clock)
case(morning, in)
det(morning, the)
nmod(o'clock, morning)
punct(o'clock, :)
det(hour, the)
appos(o'clock, hour)
nsubj(turn, which)
punct(hour, ,)
case(spade, like)
det(spade, a)
nmod(hour, spade)
acl(spade, turn)
obj(turn, clod)
case(earth, of)
nmod(clod, earth)
punct(hour, ,)
acl(hour, expose)
case(day, to)
det(day, the)
obl(expose, day)
det(myriad, a)
obj(expose, myriad)
case(creature, of)
amod(creature, busy)
nmod(myriad, creature)
nsubj(lain, that)
aux(lain, have)
acl:relcl(creature, lain)
advmod(lain, dormant)
case(night, in)
det(night, the)
amod(night, quiet)
obl(lain, night)
punct(o'clock, .)
root(ROOT, Mission)
nsubj:pass(populate, Street)
case(hour, at)
det(hour, this)
nmod(Street, hour)
aux:pass(populate, be)
root(ROOT, populate)
case(community, by)
det(community, a)
amod(community, whole)
obl(populate, community)
obj(see, that)
nsubj(see, Gun)
aux(see, could)
advmod(see, not)
aux(see, have)
acl:relcl(community, see)
case(tour, on)
nmod:poss(tour, he)
obl(see, tour)
case(duty, of)
nmod(tour, duty)
punct(tour, --)
det(neighborhood, the)
appos(tour, neighborhood)
nsubj(know, that)
